Nom d’ordinateur,Cible de stratégie,Sous-catégorie,GUID de sous-catégorie,Paramètre d’inclusion,Paramètre d’exclusion,Valeur de paramètre
DESKTOP-GNOKDIM,Système,Autres événements système,{0CCE9214-69AE-11D9-BED3-505054503030},Succès et échec,,3
DESKTOP-GNOKDIM,Système,Intégrité du système,{0CCE9212-69AE-11D9-BED3-505054503030},Succès et échec,,3
DESKTOP-GNOKDIM,Système,Extension système de sécurité,{0CCE9211-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Modification de l’état de la sécurité,{0CCE9210-69AE-11D9-BED3-505054503030},Réussite,,1
DESKTOP-GNOKDIM,Système,Pilote IPSEC,{0CCE9213-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Mode étendu IPsec,{0CCE921A-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Ouverture de session spéciale,{0CCE921B-69AE-11D9-BED3-505054503030},Réussite,,1
DESKTOP-GNOKDIM,Système,Mode rapide IPsec,{0CCE9219-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Serveur NPS,{0CCE9243-69AE-11D9-BED3-505054503030},Succès et échec,,3
DESKTOP-GNOKDIM,Système,Revendications utilisateur/de périphérique,{0CCE9247-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Appartenance à un groupe,{0CCE9249-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Mode principal IPsec,{0CCE9218-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Verrouillage du compte,{0CCE9217-69AE-11D9-BED3-505054503030},Réussite,,1
DESKTOP-GNOKDIM,Système,Fermer la session,{0CCE9216-69AE-11D9-BED3-505054503030},Réussite,,1
DESKTOP-GNOKDIM,Système,Autres événements d’ouverture/fermeture de session,{0CCE921C-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Ouvrir la session,{0CCE9215-69AE-11D9-BED3-505054503030},Succès et échec,,3
DESKTOP-GNOKDIM,Système,Partage de fichiers,{0CCE9224-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Registre,{0CCE921E-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Stratégie centralisée intermédiaire,{0CCE9246-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Stockage amovible,{0CCE9245-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Partage de fichiers détaillé,{0CCE9244-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Autres événements d’accès à l’objet,{0CCE9227-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Connexion de la plateforme de filtrage,{0CCE9226-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Rejet de paquet par la plateforme de filtrage,{0CCE9225-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Système de fichiers,{0CCE921D-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Manipulation de handle,{0CCE9223-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Généré par application,{0CCE9222-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Services de certification,{0CCE9221-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,SAM,{0CCE9220-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Objet de noyau,{0CCE921F-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Utilisation de privilèges non sensibles,{0CCE9229-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Utilisation de privilèges sensibles,{0CCE9228-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Autres événements d’utilisation de privilèges,{0CCE922A-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Fin du processus,{0CCE922C-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Événements RPC,{0CCE922E-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Activité DPAPI,{0CCE922D-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Création du processus,{0CCE922B-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Événements de jeton ajustés à droite,{0CCE924A-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Événements Plug-and-Play,{0CCE9248-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Modification de la stratégie d’authentification,{0CCE9230-69AE-11D9-BED3-505054503030},Réussite,,1
DESKTOP-GNOKDIM,Système,Modification de la stratégie d’autorisation,{0CCE9231-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Modification de la stratégie de niveau règle MPSSVC,{0CCE9232-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Autres événements de modification de stratégie,{0CCE9234-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Modification de la stratégie de plateforme de filtrage,{0CCE9233-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Modification de la stratégie d’audit,{0CCE922F-69AE-11D9-BED3-505054503030},Réussite,,1
